Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
providers,,,,22-10-2024 09:07:46,22-10-2024 09:08:02,16.254s,PASSED
,,,,,,,
Test Cases/TIP_Management/provider/FCA-15702_TIP Management - GET TIP Providers,,[BE][QA] TIP Management - GET TIP Providers,getProviders,22-10-2024 09:07:47,22-10-2024 09:08:00,12.728s,PASSED
Start listener action : Before,,,,22-10-2024 09:07:49,22-10-2024 09:07:54,4.774s,PASSED
"if (flag == ""Y"")",,,,22-10-2024 09:07:55,22-10-2024 09:07:59,4.170s,PASSED
Start listener action : afterTestCase,,,,22-10-2024 09:07:59,22-10-2024 09:08:00,0.778s,PASSED
,,,,,,,
Test Cases/TIP_Management/provider/FCA-15703_TIP Management - GET TIP Provider by Id,,[BE][QA] TIP Management - GET TIP Provider by Id,getProviders,22-10-2024 09:08:00,22-10-2024 09:08:02,2.864s,PASSED
Start listener action : Before,,,,22-10-2024 09:08:01,22-10-2024 09:08:01,0.010s,PASSED
"if (flag == ""Y"")",,,,22-10-2024 09:08:02,22-10-2024 09:08:02,0.723s,PASSED
Start listener action : afterTestCase,,,,22-10-2024 09:08:02,22-10-2024 09:08:02,0.055s,PASSED
