"Code"|"Name"|"Designator"|"Template"
"001"|"American Airlines Inc"|"AA"|"LEAN"
"002"|"DreamJet SAS t/a La Compagnie"|"B0"|"LEAN"
"003"|"Compass Airlines LLC"|"CP"|"EFFICIENT"
"004"|"Blue Panorama Airlines S.p.A."|"BV"|"LEAN"
"005"|"Continental Airlines, Inc."|"CO"|"LEAN"
"006"|"Delta Air Lines, Inc."|"DL"|"LEAN"
"007"|"Eastern Air Lines Group Inc."|"EA"|"LEAN"
"009"|"JC (Cambodia) International Airlines"|"QD"|"LEAN"
"010"|"Mayair S.A. de C.V."|"7M"|"STREAMLINED"
"011"|"Motor-Sich JSC"|"M9"|""
"012"|"AIR MEDITERRANEAN S.A"|"MV"|""
"013"|"Anisec Luftfahrt GmbH"|"VK"|""
"014"|"Air Canada"|"AC"|""
"015"|"Sol Aviation (Pvt) Ltd t/a Sol Air"|"ZS"|""
"016"|"United Airlines, Inc."|"UA"|"LEAN"
"017"|"Fly Baghdad Airlines"|"IF"|""
"018"|"Juneyao Airlines Co,. Ltd."|"HO"|"LEAN"
"019"|"Servicio Aereo a Territorios Nacion "SATENA""|"9R"|""
"021"|"Carpatair S.A."|"V3"|""
"024"|"Tchadia Airlines"|"OT"|"STREAMLINED"
"025"|"Izhavia Silvia Stock Company"|"I8"|"EFFICIENT"
"026"|"Saratov Airlines Joint Stock Compan"|"6W"|""
"027"|"Alaska Airlines Inc."|"AS"|""
"028"|"Chu Kong Passenger Transport Co. Ltd."|"3A"|""
"029"|"South African Express Airways (Pty)"|"XZ"|""
"030"|"Vueling Airlines S.A."|"VY"|""
"031"|"Precision Air Services Plc"|"PW"|""
"032"|"Compagnie Aerienne ASKY dba ASKY"|"KP"|""
"033"|"Reliant Air Charter, Inc"|"L0"|""
"034"|"TUS Airways Ltd."|"U8"|""
"035"|"Aerovias de Integracion Regional dba LATAM Airlines Colombia"|"4C"|""
"036"|"Concesionaria Vuela Compania De Aviacion SA de CV"|"Y4"|""
"037"|"US Airways, Inc."|"US"|""
"038"|"Tandem Aero Ltd."|"TQ"|""
"039"|"Regional Express Americas SAS"|"EX"|""
"040"|"Cameroon Airlines Corporation (Camair-Co)"|"QC"|""
"041"|"Jetstar Airways Pty Limited"|"JQ"|""
"042"|"Air Excursion, LLC"|"X4"|""
"043"|"Hong Kong Dragon Airlines Limited"|"KA"|""
"044"|"Aerolineas Argentinas S.A."|"AR"|""
"045"|"LATAM Airlines Group S.A. dba LATAM Airlines Group"|"LA"|""
"047"|"TAP Portugal"|"TP"|"STREAMLINED"
"048"|"Cyprus Airways Limited"|"XX"|""
"049"|"Air Caucasus"|"UY"|""
"050"|"Olympic Air"|"OA"|""
"051"|"Germanwings GmbH"|"4U"|""
"052"|"Estelar Latinoamerica C.A. dba Estelar"|"ES"|""
"053"|"Aer Lingus Limited"|"EI"|""
"054"|"Eastern Airlines, LLC"|"2D"|""
"055"|"Alitalia Societa Aerea Italiana S.p.A"|"AZ"|""
"056"|"Thalys International"|"2H"|""
"057"|"Air France"|"AF"|""
"058"|"Cotai Ferry Company Limited"|"8C"|""
"060"|"Compania Operadora de Corto y Medio Radio Iberia Express, S.A.U"|"I2"|""
"061"|"Air Seychelles Limited"|"HM"|"STREAMLINED"
"062"|"AirAsia Inc."|"PQ"|""
"063"|"Air Caledonie International"|"SB"|""
"064"|"Czech Airlines a.s,. CSA"|"OK"|""
"065"|"Saudi Arabian Airlines"|"SV"|""
"066"|"Onur Air Tasimacilik A.S."|"8Q"|""
"067"|"Air Italy S.p.A."|"I9"|""
"068"|"LAM - Linhas Aereas de Mocambique"|"TM"|""
"069"|"Air Kiribati Limited"|"IK"|""
"070"|"Syrian Arab Airlines"|"RB"|""
"071"|"Ethiopian Airlines"|"ET"|""
"072"|"Gulf Air B.S.C. (c)"|"GF"|""
"073"|"Iraqi Airways"|"IA"|""
"074"|"KLM"|"KL"|""
"075"|"Iberia Lineas Aereas de Espana S.A. Operadora"|"IB"|""
"076"|"Middle East Airlines AirLiban"|"ME"|""
"077"|"Egyptair"|"MS"|""
"078"|"Charlie Airlines Limited dba Cyprus Airways"|"CY"|""
"079"|"Philippine Airlines, Inc."|"PR"|"LEAN"
"080"|"LOT Polish Airlines"|"LO"|""
"081"|"Qantas Airways Ltd."|"QF"|""
"082"|"Brussels Airlines"|"SN"|""
"083"|"South African Airways"|"SA"|""
"084"|"M/S Airblue Ltd"|"PA"|""
"086"|"Air New Zealand Limited"|"NZ"|""
"087"|"Elite Airways LLC"|"7Q"|""
