"Code"|"Name"|"Designator"|"Template"
"001"|"American Airlines Inc"|"AA"|"STREAMLINED"
"002"|"DreamJet SAS t/a La Compagnie"|"BO"|"EFFICIENT"
"004"|"Blue Panorama Airlines S.p.A."|"T4"|"LEAN"
"005"|"Continental Airlines, Inc."|"YZ"|"EFFICIENT"
"006"|"Delta Air Lines, Inc."|"DL"|"STREAMLINED"
"007"|"Eastern Air Lines Group Inc."|"YY"|"STREAMLINED"
"009"|"JC (Cambodia) International Airlines"|"QD"|"LEAN"
"010"|"Mayair S.A. de C.V."|"DG"|"STREAMLINED"
"011"|"Motor-Sich JSC"|"23"|""
"013"|"Anisec Luftfahrt GmbH"|"GY"|""
"014"|"Air Canada"|"AC"|"STREAMLINED"
"015"|"Sol Aviation (Pvt) Ltd t/a Sol Air"|"TW"|""
"016"|"United Airlines, Inc."|"UA"|""
"018"|"Juneyao Airlines Co,. Ltd."|"HO"|""
"021"|"Carpatair S.A."|"V3"|""
"022"|"T'way Air Co., Ltd. "|"TW"|""
"024"|"Tchadia Airlines"|"EA"|""
"026"|"Saratov Airlines Joint Stock Compan"|"PA"|""
"030"|"Vueling Airlines S.A."|"VY"|""
"031"|"Precision Air Services Plc"|"PW"|""
"033"|"Reliant Air Charter, Inc"|"F7"|""
"037"|"US Airways, Inc."|"US"|""
"040"|"Cameroon Airlines Corporation (Camair-Co)"|"QC"|""
"042"|"Air Excursion, LLC"|"RG"|""
"043"|"Hong Kong Dragon Airlines Limited"|"KA"|""
"044"|"Aerolineas Argentinas S.A."|"AR"|""
"045"|"LATAM Airlines Group S.A. dba LATAM Airlines Group"|"LA"|""
"047"|"TAP Portugal"|"TP"|""
"048"|"Cyprus Airways Limited"|"11"|""
"050"|"Olympic Air"|"OA"|""
"053"|"Aer Lingus Limited"|"EI"|""
"055"|"Alitalia Societa Aerea Italiana S.p.A"|"AZ"|""
"057"|"Air France"|"AF"|""
"058"|"Cotai Ferry Company Limited"|"IC"|""
"061"|"Air Seychelles Limited"|"HM"|""
"062"|"AirAsia Inc."|"DA"|""
"063"|"Air Caledonie International"|"SB"|""
"064"|"Czech Airlines a.s,. CSA"|"OK"|""
"065"|"Saudi Arabian Airlines"|"SV"|""
"066"|"Onur Air Tasimacilik A.S."|"8Q"|""
"068"|"LAM - Linhas Aereas de Mocambique"|"TM"|""
"071"|"Ethiopian Airlines"|"ET"|""
"072"|"Gulf Air B.S.C. (c)"|"GF"|""
"074"|"KLM"|"KL"|""
"075"|"Iberia Lineas Aereas de Espana S.A. Operadora"|"IB"|""
"076"|"Middle East Airlines AirLiban"|"ME"|""
"077"|"Egyptair"|"MS"|""
"078"|"Charlie Airlines Limited dba Cyprus Airways"|"CY"|""
"079"|"Philippine Airlines, Inc."|"PR"|""
"080"|"LOT Polish Airlines"|"LO"|""
"081"|"Qantas Airways Ltd."|"QF"|""
"082"|"Brussels Airlines"|"SN"|""
"083"|"South African Airways"|"SA"|""
"085"|"SWISSAIR AG"|"SR"|""
"086"|"Air New Zealand Limited"|"NZ"|""
"087"|"Elite Airways LLC"|"WT"|""
"090"|"Skymark Airlines Inc."|"IT"|""
"092"|"Serene Air (PVT.) LTD."|"RK"|""
"096"|"Iran Air"|"IR"|""
"098"|"Air India Limited"|"AI"|""
"101"|"AIR DOLOMITI S.p.A. LINEE AEREE REGIONALI EUROPEE"|"EN"|""
"102"|"Helvetic Airways AG"|"2L"|""
"105"|"Finnair Oyj"|"AY"|""
"106"|"Caribbean Airlines Limited dba Caribbean Airlines Ltd."|"BW"|""
"107"|"LC Busre SAC"|"W4"|""
"108"|"Icelandair"|"FI"|""
"111"|"Bahamasair Holdings, Limited"|"UP"|""
"114"|"El Al Israel Airlines Ltd."|"LY"|""
"115"|"JSC for Air Traffic-Air Serbia Belgrade t/a Air Serbia a.d Beograd"|"JU"|"LEAN"
"117"|"Scandinavian Airlines System (SAS)"|"SK"|""
"118"|"TAAG - Linhas Aereas de Angola (Angola Airlines)"|"DT"|""
"122"|"Multi-Aero, Inc. dba Air Choice One"|"22"|""
"124"|"Air Algerie"|"AH"|""
"125"|"British Airways p.l.c."|"BA"|""
"126"|"PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia"|"GA"|""
"127"|"GOL Linhas Aereas S.A."|"G3"|""
"129"|"Martinair Holland N.V."|"MP"|""
"130"|"Fly One S.R.L."|"UK"|""
"131"|"Japan Airlines Co., Ltd."|"JL"|""
"132"|"Compania Mexicana de AviacionS.A. de C.V."|"MX"|""
"134"|"Aerovias del Continente Americano S.A. AVIANCA"|"AV"|""
"135"|"Air Tahiti"|"VT"|""
"139"|"Aeromexico"|"AM"|""
"141"|"Flydubai dba Dubai Aviation Corporation \"FLYDUBAI\""|"FZ"|""
"147"|"Royal Air Maroc"|"AT"|""
"148"|"Libyan Airlines"|"LN"|""
"149"|"Luxair"|"LG"|""
"152"|"Aeropostal Alas de Venezuela C.A."|"VH"|""
"153"|"Sabre Inc."|"IO"|""
"156"|"Star Up S.A. dba Star Peru"|"2I"|""
"157"|"Qatar Airways (Q.C.S.C.)"|"QR"|""
"160"|"Cathay Pacific Airways Ltd."|"CX"|""
"164"|"Aerocaribbean S.A."|"IA"|""
"165"|"Adria Airways d.o.o."|"JP"|""
"169"|"Hahn Air Lines GmbH"|"HR"|""
"173"|"Hawaiian Airlines, Inc."|"HA"|""
"174"|"AIR MAURITANIE"|"2X"|""
"176"|"Emirates"|"EK"|""
"180"|"Korean Air Lines Co. Ltd."|"KE"|""
"182"|"MALEV-HUNGARIAN AIRLINES"|"MA"|""
"185"|"Pan Am World Airways Dominicana S.A"|"7N"|""
"186"|"Air Namibia"|"SW"|""
"188"|"Cambodia Angkor Air t/a Cambodia Angkor Air Co., Ltd."|"K6"|""
"191"|"Air Italy S.p.A. dba Air Italy S.p.A."|"IG"|""
"194"|"Macair Jet S.A."|"G7"|""
"195"|"Rossiya Airlines JSC"|"FV"|""
"196"|"BALKAN BULGARIAN AIR"|"LZ"|"LEAN"
"197"|"Air Tanzania Company Ltd."|"TC"|""
"199"|"Tunisair"|"TU"|""
"201"|"Regional Jet Ou"|"JM"|""
"205"|"All Nippon Airways Co. Ltd."|"NH"|""
"207"|"Cairo Aviation"|"6M"|""
"214"|"Pakistan International Airlines"|"PK"|""
"217"|"Thai Airways International Public Company Ltd."|"TG"|""
"220"|"Deutsche Lufthansa AG"|"LH"|"LEAN"
"226"|"Air Burkina"|"2J"|""
"229"|"Kuwait Airways"|"KU"|""
"230"|"Compania Panamena de Aviacion, S.A. (COPA)"|"CM"|""
"231"|"Lauda Air Luftfahrt AG"|"NG"|""
"232"|"Malaysia Airlines Berhad dba Malaysia Airlines"|"MH"|""
"235"|"Turkish Airlines Inc."|"TK"|""
